Center_x,Center_y
714.5,167.5
715,166.5
716,166.5
715,166.5
715,167
715,165.5
715,166
715,164.5
715,164.5
714.5,164.5
714,163.5
714,164.5
714,165.5
713.5,164.5
713,164
713,164
712.5,163.5
712,163.5
712,164
711,165
711,166
710.5,165
710,165
709,165
709,165
708,165.5
707,166
706,166.5
706,168
705,167.5
704,167
704,167
703,167.5
702,167.5
702,167.5
701,168
700,169
700,169.5
699,170.5
698,169.5
698,170
697,169.5
696.5,169.5
696,170
695,171
694,172
694,173
693,172
692.5,172
692,172.5
691,172.5
690,172.5
689.5,172.5
689,172.5
688,173
687.5,173.5
687,174
686,174
686,175
685,175.5
685,176
684,176
684,176
683,175.5
683,176
683,176
682,175.5
682,176
681,177
681,178
681,178.5
680,178.5
680,178
679.5,178.5
679,178
679,177.5
678.5,178
678,179
679,179.5
678,180.5
677.5,180.5
677,179.5
677,179.5
677,179
676.5,178.5
676.5,179.5
676.5,180.5
676,181.5
676,182.5
676,182.5
676,182
676,182.5
676,182
676,182.5
675.5,183.5
676,183.5
676,183.5
676,184
676,184
676,184
676,185.5
676,186
676.5,186.5
676.5,186.5
676.5,186.5
677,187
677,186.5
677.5,186.5
678,187.5
678,187.5
678.5,187.5
678.5,187.5
679.5,187.5
679.5,187
680,187
680.5,187.5
681.5,187.5
681.5,188.5
682.5,189
682.5,189.5
683.5,189.5
683.5,187.5
684.5,188
684.5,188
685.5,187.5
686,188
686.5,189
712.304,191.051
687.5,189.5
688.5,188.5
688.5,189.5
689.5,188.5
690,188.5
690.5,188.5
691.5,189
691.5,189.5
692.5,190.5
681.259,193.416
681.794,193.453
694.5,190
694.5,190
696.5,190
696,189.5
697,189.5
697,188
698,189
698.5,189
700.5,189.5
700,189.5
681.749,190.016
701,189
702,187.5
702,188
703.5,187.5
704,186.5
704,185.5
705,186.5
705,186
706,187.5
706.5,187
707,187
707.5,185.5
708,185
708,186
708,187
709,187
709,185.5
709.5,185.5
709.5,186.5
709.5,187
709.5,186
709.5,185
709.5,187
721.613,186.624
709.5,187
709.5,187.5
709.5,187.5
709,188
730.944,186.624
730.944,186.624
708.5,189.5
708.5,190
708,190
708,190
721.565,195.009
721.057,195.217
706.5,191
707,191
706,190.5
705,192
694.656,196.992
694.178,197.01
704,192
704,192.5
703,192
702.5,192.5
695.897,197.294
695.367,197.278
694.916,197.435
694.46,197.468
700,193.5
699,193
699,194
689.032,197.062
688.5,197.133
697,194
697,193.5
696,193
695,194
682.094,198.827
694.5,194.5
694,194.5
693,194.5
693,194.5
679.733,196.951
688.608,200.448
692,194.5
692,193.5
691,194
691,194
691,194
690.5,194.5
690,193.5
690.5,194
690,195
686.88,198.72
688.435,199.066
689.5,194
689.5,193.5
689.5,194
689.5,194
681.696,190.08
681.696,196.992
689.5,193.5
689.5,192
689.5,192
689.5,193
689.5,192
689.5,192
689.5,192.5
689.5,191.5
689.5,191.5
690,191.5
689.5,192
681.711,196.705
681.623,196.456
689.5,190.5
689.5,189.5
689.5,188.5
689.5,188
689.5,187
689,188
689,186
689,185
689,184.5
688.5,184.5
680.4,190.08
688,184.5
688,184
688,183
688,182.5
687.5,181
688,180.5
687.5,181.5
687.5,181.5
687.5,181.5
688,180.5
687,180
687,179
687,178.5
687.5,178.5
687.5,179.5
687.5,180
687.5,179.5
687.5,179
688.5,178.5
688,178
688,178
688,178
688.5,177.5
688.5,178.5
688.5,179.5
688.5,180
688.5,180.5
689,181
688.5,180.5
689,181
689,181
689,181.5
689,182
689,183.5
689.5,185
689.5,185
689.5,185
690,186
689.5,186.5
690,187.5
690,189
690.5,190.5
690.5,191.5
680.929,187.362
681.028,188.392
690.5,194.5
690.5,195
691.5,196
691.5,196.5
691.5,196
691.5,197
691.5,198
692.5,199.5
692,201
684.288,207.36
692,201
692,202.5
692.5,202
692.5,202.5
692.5,203
692.5,204.5
680.793,207.919
680.802,208.489
693,206.5
693,206.5
693,207
693,207.5
693.5,207.5
693,208.5
693,210
692.561,210.279
705.024,207.36
699.84,213.12
694,211
694,212
694,212
694,212
694,213
694.5,212.5
694.5,214
694.5,215
694.461,215.705
697.68,221.76
697.937,222.341
694.5,217
694.5,218
694.5,218
695.5,218.5
695,218.5
695.5,218.5
679.902,218.004
679.879,218.406
679.891,218.713
680.016,218.921
680.008,219.173
679.94,219.403
679.93,219.527
705.888,224.64
705.863,224.887
688.608,224.64
712.282,223.949
679.968,228.096
679.922,228.353
679.834,228.423
679.714,228.56
679.968,228.096
679.862,228.145
679.85,228.302
679.749,228.463
679.746,228.486
679.746,228.502
679.703,228.509
679.699,228.511
679.536,228.497
679.516,228.496
679.505,228.495
679.478,228.484
679.456,228.479
679.451,228.472
679.432,228.47
